id,users_id,student_id,department,school_year,semester,branch,year_level,program,classified_as,last_school_attended,last_school_address,status,created_at,updated_at,deleted_at
,16,C00-0003,College,2025-2026,1st,Main,4th year,BSCRIM,old student,,,failed,33:38.0,33:38.0,
,17,C00-0004,College,2022-2023,1st,Main,1st year,BSENTREP,new student,RER Star Summit Technologies Inc.,"15th Floor Cortez Towers 8, 948 Peridot Boulevard, Buadiposo-Buntong, 5664 Leyte",enrolled,33:38.0,33:38.0,
,18,C00-0004,College,2022-2023,2nd,Main,1st year,BSENTREP,old student,,,enrolled,33:38.0,33:38.0,
,19,C00-0004,College,2023-2024,1st,Main,2nd year,BSENTREP,old student,,,enrolled,33:38.0,33:38.0,
,20,C00-0004,College,2023-2024,2nd,Main,2nd year,BSENTREP,old student,,,approved,33:38.0,33:38.0,
,21,C00-0004,College,2024-2025,1st,Main,3rd year,BSENTREP,old student,,,onhold,33:38.0,33:38.0,
,22,C00-0004,College,2024-2025,2nd,Main,3rd year,BSENTREP,old student,,,enrolled,33:38.0,33:38.0,
,23,C00-0004,College,2025-2026,1st,Main,4th year,BSENTREP,old student,,,enrolled,33:38.0,33:38.0,
,24,C00-0005,SHS,2019-2020,1st,Main,grade 11,HUMSS,new student,OZP Union Millennium Technologies Inc.,"B04 L92 Topaz Village 1, Sapphire Road Extension, Maitum, 2310 Quirino",onhold,33:38.0,33:38.0,
,25,C00-0005,SHS,2019-2020,2nd,Main,grade 11,HUMSS,old student,,,enrolled,33:38.0,33:38.0,
,26,C00-0005,SHS,2020-2021,1st,Uno,grade 12,HUMSS,old student,,,enrolled,33:38.0,33:38.0,
,27,C00-0006,College,2021-2022,1st,Main,1st year,BSENTREP,new student,Chan Genesis Foods Inc.,"9F Caraballo Condominiums 4, 5590 5th Street, Pototan, 3220 Zambales",enrolled,33:38.0,33:38.0,
,28,C00-0006,College,2021-2022,2nd,Main,1st year,BSENTREP,old student,,,enrolled,33:38.0,33:38.0,
,29,C00-0006,College,2022-2023,1st,Main,2nd year,BSENTREP,old student,,,enrolled,33:38.0,33:38.0,
,30,C00-0006,College,2022-2023,2nd,Main,2nd year,BSENTREP,old student,,,approved,33:38.0,33:38.0,
,31,C00-0006,College,2023-2024,1st,Main,3rd year,BSENTREP,old student,,,enrolled,33:38.0,33:38.0,
,32,C00-0006,College,2023-2024,2nd,Main,3rd year,BSENTREP,old student,,,enrolled,33:38.0,33:38.0,
,33,C00-0006,College,2024-2025,1st,Main,4th year,BSENTREP,old student,,,cancelled,33:38.0,33:38.0,
,34,C00-0007,College,2022-2023,1st,Main,1st year,BTVTED,new student,IAF Gold State Banking Corporation,"B01 L96 Amber Street, Savage Subdivision, San Juan, 1064 Metro Manila",completed,33:38.0,33:38.0,
,35,C00-0007,College,2022-2023,2nd,Main,1st year,BTVTED,old student,,,dropped,33:38.0,33:38.0,
,36,C00-0008,SHS,2020-2021,1st,Main,grade 11,HUMSS,new student,Valdez Construction Corporation,"5614D Ruby Road, Pagsanjan, 3028 Kalinga",cancelled,33:38.0,33:38.0,
,37,C00-0009,SHS,2019-2020,1st,Uno,grade 11,HUMSS,new student,Metro Finance Inc.,"Unit 916 Jupiter Place Tower 6, 1762 52nd Drive, Santa, 6624 Southern Leyte",approved,33:38.0,33:38.0,
,38,C00-0009,SHS,2019-2020,2nd,Main,grade 11,HUMSS,old student,,,onhold,33:38.0,33:38.0,
,39,C00-0009,SHS,2020-2021,1st,Uno,grade 12,HUMSS,old student,,,LOA,33:38.0,33:38.0,
,40,C00-0010,SHS,2022-2023,1st,Uno,grade 11,IA,new student,Hall Enterprise Corporation,"905 Unit C Emerald Avenue, Batac, 8079 Sultan Kudarat",deferred,33:38.0,33:38.0,
,41,C00-0010,SHS,2022-2023,2nd,Uno,grade 11,IA,old student,,,enrolled,33:38.0,33:38.0,
,42,C00-0010,SHS,2023-2024,1st,Main,grade 12,IA,old student,,,completed,33:38.0,33:38.0,
,43,C00-0011,SHS,2019-2020,1st,Main,grade 11,HE,new student,Stephens Genesis Century Hotel Inc.,"38th Floor Brown Condominiums 5, 7078 Diamond Road, Baler, 3408 Marinduque",enrolled,33:38.0,33:38.0,
,44,C00-0011,SHS,2019-2020,2nd,Main,grade 11,HE,old student,,,failed,33:38.0,33:38.0,
,45,C00-0012,College,2022-2023,1st,Main,1st year,BSCRIM,new student,Filipino Empire Resources Corporation,"7671 Sierra Madre Street, Topaz Subdivision, Malabon, 0577 Metro Manila",enrolled,33:38.0,33:38.0,
,46,C00-0012,College,2022-2023,2nd,Main,1st year,BSCRIM,old student,,,dropped,33:38.0,33:38.0,
,47,C00-0013,SHS,2021-2022,1st,Main,grade 11,HUMSS,new student,Global World Technologies Corporation,"7449-F Calantas Street, Omar, 2914 Masbate",enrolled,33:38.0,33:38.0,
,48,C00-0013,SHS,2021-2022,2nd,Main,grade 11,HUMSS,old student,,,enrolled,33:38.0,33:38.0,
,49,C00-0013,SHS,2022-2023,1st,Uno,grade 12,HUMSS,old student,,,enrolled,33:38.0,33:38.0,
,50,C00-0014,College,2020-2021,1st,Main,1st year,BSCRIM,new student,BE Star Morning Shipping Inc.,"74th Floor Wade Apartments, 1566 Andromeda Drive Extension, Manito, 2347 Oriental Mindoro",cancelled,33:38.1,33:38.1,
,51,C00-0015,College,2022-2023,1st,Main,1st year,BSENTREP,new student,Sovereign Summit Mining Inc.,"9898 Polaris Street, Milflower Village Phase 6, Calauag, 2577 Quirino",enrolled,33:38.1,33:38.1,
,52,C00-0015,College,2022-2023,2nd,Main,1st year,BSENTREP,old student,,,approved,33:38.1,33:38.1,
,53,C00-0015,College,2023-2024,1st,Main,2nd year,BSENTREP,old student,,,failed,33:38.1,33:38.1,
,54,C00-0016,College,2019-2020,1st,Main,1st year,ACT,new student,GTSH State Gold Resorts Corporation,"898 Mariveles Road, Roach Homes Phase 2, Poro, 9514 Misamis Occidental",approved,33:38.1,33:38.1,
,55,C00-0016,College,2019-2020,2nd,Main,1st year,ACT,old student,,,enrolled,33:38.1,33:38.1,
,56,C00-0016,College,2020-2021,1st,Main,2nd year,ACT,old student,,,enrolled,33:38.1,33:38.1,
,57,C00-0017,SHS,2021-2022,1st,Main,grade 11,STEM,new student,National Pillow Corporation of the Philippines,"B08 L30 Zircon Avenue Extension, Planet Homes Phase 8, Parañaque, 0544 Metro Manila",enrolled,33:38.1,33:38.1,
,58,C00-0017,SHS,2021-2022,2nd,Main,grade 11,STEM,old student,,,enrolled,33:38.1,33:38.1,
,59,C00-0017,SHS,2022-2023,1st,Uno,grade 12,STEM,old student,,,enrolled,33:38.1,33:38.1,
,60,C00-0018,College,2020-2021,1st,Main,1st year,BSTM,new student,Dawson Summit Group Inc.,"Room 5223 Gregory Residences Tower 3, 2311 Hernandez Avenue, Bocaue, 7043 Surigao del Sur",enrolled,33:38.1,33:38.1,
,61,C00-0018,College,2020-2021,2nd,Main,1st year,BSTM,old student,,,enrolled,33:38.1,33:38.1,
,62,C00-0018,College,2021-2022,1st,Main,2nd year,BSTM,old student,,,enrolled,33:38.1,33:38.1,
,63,C00-0018,College,2021-2022,2nd,Main,2nd year,BSTM,old student,,,onhold,33:38.1,33:38.1,
,64,C00-0018,College,2022-2023,1st,Main,3rd year,BSTM,old student,,,onhold,33:38.1,33:38.1,
,65,C00-0018,College,2022-2023,2nd,Main,3rd year,BSTM,old student,,,completed,33:38.1,33:38.1,
,66,C00-0018,College,2023-2024,1st,Main,4th year,BSTM,old student,,,enrolled,33:38.1,33:38.1,
,67,C00-0019,College,2019-2020,1st,Main,1st year,BSCRIM,new student,RJO Empire State Company Inc.,"B20 L68 Taylor Subdivision, Saturn Street, Flora, 3340 Pampanga",enrolled,33:38.1,33:38.1,
,68,C00-0019,College,2019-2020,2nd,Main,1st year,BSCRIM,old student,,,enrolled,33:38.1,33:38.1,
,69,C00-0019,College,2020-2021,1st,Main,2nd year,BSCRIM,old student,,,enrolled,33:38.1,33:38.1,
,70,C00-0019,College,2020-2021,2nd,Main,2nd year,BSCRIM,old student,,,enrolled,33:38.1,33:38.1,
,71,C00-0019,College,2021-2022,1st,Main,3rd year,BSCRIM,old student,,,approved,33:38.1,33:38.1,
,72,C00-0019,College,2021-2022,2nd,Main,3rd year,BSCRIM,old student,,,onhold,33:38.1,33:38.1,
,73,C00-0019,College,2022-2023,1st,Main,4th year,BSCRIM,old student,,,enrolled,33:38.1,33:38.1,
,74,C00-0020,SHS,2021-2022,1st,Uno,grade 11,IA,new student,Smith Morning World Foods Corporation,"3164 G Taurus Drive, General Santos, 3976 Laguna",onhold,33:38.1,33:38.1,
,75,C00-0020,SHS,2021-2022,2nd,Main,grade 11,IA,old student,,,enrolled,33:38.1,33:38.1,
,76,C00-0020,SHS,2022-2023,1st,Main,grade 12,IA,old student,,,approved,33:38.1,33:38.1,
,77,C00-0021,SHS,2019-2020,1st,Uno,grade 11,HE,new student,Philippine Holdings Corporation,"2053 Unit D Calumpang Road, Claver, 8340 Davao del Sur",enrolled,33:38.1,33:38.1,
,78,C00-0021,SHS,2019-2020,2nd,Uno,grade 11,HE,old student,,,failed,33:38.1,33:38.1,
,79,C00-0022,SHS,2020-2021,1st,Main,grade 11,ICT,new student,Myers Enterprise Inc.,"Block 08 Lot 33 Aquarius Avenue, Akle Subdivision 1, Tubigon, 5089 Cebu",enrolled,33:38.1,33:38.1,
,80,C00-0022,SHS,2020-2021,2nd,Main,grade 11,ICT,old student,,,enrolled,33:38.1,33:38.1,
,81,C00-0022,SHS,2021-2022,1st,Uno,grade 12,ICT,old student,,,completed,33:38.1,33:38.1,
,82,C00-0023,College,2019-2020,1st,Main,1st year,ACT,new student,Beasley King Development Corporation,"1593 Ruby Boulevard, Caraballo Estates 9, Dauin, 7310 Misamis Occidental",completed,33:38.1,33:38.1,
,83,C00-0023,College,2019-2020,2nd,Main,1st year,ACT,old student,,,onhold,33:38.1,33:38.1,
,84,C00-0023,College,2020-2021,1st,Main,2nd year,ACT,old student,,,completed,33:38.1,33:38.1,
,85,C00-0024,SHS,2019-2020,1st,Uno,grade 11,ABM,new student,Southern Finance Corporation,"2836 Pacheco Street, Berry Estates 5, Madamba, 4215 Occidental Mindoro",enrolled,33:38.1,33:38.1,
,86,C00-0024,SHS,2019-2020,2nd,Main,grade 11,ABM,old student,,,enrolled,33:38.1,33:38.1,
,87,C00-0024,SHS,2020-2021,1st,Main,grade 12,ABM,old student,,,enrolled,33:38.1,33:38.1,
,88,C00-0025,College,2019-2020,1st,Main,1st year,BSENTREP,new student,GE Millennium Development Limited,"Room 328 Supa Apartment, 3926 Gardner Avenue, Piagapo, 8407 Agusan del Norte",failed,33:38.1,33:38.1,
,89,C00-0026,SHS,2019-2020,1st,Main,grade 11,ICT,new student,IN Group Inc.,"B13 L37 Moon Road, Kelley Village, Alubijid, 6866 Aklan",completed,33:38.1,33:38.1,
,90,C00-0026,SHS,2019-2020,2nd,Main,grade 11,ICT,old student,,,completed,33:38.1,33:38.1,
,91,C00-0026,SHS,2020-2021,1st,Uno,grade 12,ICT,old student,,,onhold,33:38.1,33:38.1,
,92,C00-0027,College,2019-2020,1st,Main,1st year,BTVTED,new student,Stark Resources Inc.,"652 Zodiac Road, Supa Estates 1, Sergio Osmeña Sr., 8717 Camiguin",cancelled,33:38.1,33:38.1,
,93,C00-0028,SHS,2022-2023,1st,Main,grade 11,STEM,new student,First Union Finance Corporation,"25th Floor Zircon Building 8, 5605 Comet Drive Extension, Navotas, 1494 Metro Manila",onhold,33:38.1,33:38.1,
,94,C00-0028,SHS,2022-2023,2nd,Main,grade 11,STEM,old student,,,enrolled,33:38.1,33:38.1,
,95,C00-0028,SHS,2023-2024,1st,Uno,grade 12,STEM,old student,,,enrolled,33:38.1,33:38.1,
,96,C00-0029,SHS,2020-2021,1st,Uno,grade 11,HUMSS,new student,Campbell Morning Empire Bank Corporation,"Block 14 Lot 63 Santol Street, Zodiac Grove Phase 3, Mambusao, 3147 Cavite",enrolled,33:38.1,33:38.1,
,97,C00-0029,SHS,2020-2021,2nd,Uno,grade 11,HUMSS,old student,,,enrolled,33:38.1,33:38.1,
,98,C00-0029,SHS,2021-2022,1st,Main,grade 12,HUMSS,old student,,,enrolled,33:38.1,33:38.1,
,99,C00-0030,SHS,2021-2022,1st,Uno,grade 11,IA,new student,BUF Union Empire Trust Corporation,"B13 L57 Opal Grove Phase 3, Bagtikan Street, Guihulngan, 5535 Albay",enrolled,33:38.1,33:38.1,
,100,C00-0030,SHS,2021-2022,2nd,Main,grade 11,IA,old student,,,enrolled,33:38.1,33:38.1,
,101,C00-0030,SHS,2022-2023,1st,Uno,grade 12,IA,old student,,,enrolled,33:38.1,33:38.1,
,102,C00-0031,College,2020-2021,1st,Main,1st year,ACT,new student,Stark Star Technologies Corporation,"Block 09 Lot 89 Ruby Street, Lopez Village 7, Sabangan, 4516 Nueva Ecija",enrolled,33:38.1,33:38.1,
,103,C00-0031,College,2020-2021,2nd,Main,1st year,ACT,old student,,,enrolled,33:38.1,33:38.1,
,104,C00-0031,College,2021-2022,1st,Main,2nd year,ACT,old student,,,enrolled,33:38.1,33:38.1,
,105,C00-0032,SHS,2019-2020,1st,Uno,grade 11,HUMSS,new student,Oriental Hotel Inc.,"2890 Medina Street, Cucumber Subdivision, Tubajon, 3879 Albay",enrolled,33:38.1,33:38.1,
,106,C00-0032,SHS,2019-2020,2nd,Main,grade 11,HUMSS,old student,,,dropped,33:38.1,33:38.1,
,107,C00-0033,SHS,2019-2020,1st,Main,grade 11,HE,new student,Sovereign Dragon Sun Equities Limited,"6737B Sicaba Street, Pandan, 9424 Misamis Oriental",onhold,33:38.1,33:38.1,
,108,C00-0033,SHS,2019-2020,2nd,Main,grade 11,HE,old student,,,enrolled,33:38.1,33:38.1,
,109,C00-0033,SHS,2020-2021,1st,Main,grade 12,HE,old student,,,onhold,33:38.1,33:38.1,
,110,C00-0034,College,2020-2021,1st,Main,1st year,ACT,new student,Wood Morning World Construction Inc.,"1324 53rd Road, Mexico, 6870 Southern Leyte",enrolled,33:38.1,33:38.1,
,111,C00-0034,College,2020-2021,2nd,Main,1st year,ACT,old student,,,enrolled,33:38.1,33:38.1,
,112,C00-0034,College,2021-2022,1st,Main,2nd year,ACT,old student,,,cancelled,33:38.1,33:38.1,
,113,C00-0035,College,2019-2020,1st,Main,1st year,BSCS,new student,Quad Mining Corporation,"7228 Azalea Street, Bagabag, 7234 Cotabato",onhold,33:38.1,33:38.1,
,114,C00-0035,College,2019-2020,2nd,Main,1st year,BSCS,old student,,,completed,33:38.1,33:38.1,
,115,C00-0035,College,2020-2021,1st,Main,2nd year,BSCS,old student,,,enrolled,33:38.1,33:38.1,
,116,C00-0035,College,2020-2021,2nd,Main,2nd year,BSCS,old student,,,enrolled,33:38.1,33:38.1,
,117,C00-0035,College,2021-2022,1st,Main,3rd year,BSCS,old student,,,enrolled,33:38.1,33:38.1,
,118,C00-0035,College,2021-2022,2nd,Main,3rd year,BSCS,old student,,,completed,33:38.1,33:38.1,
,119,C00-0035,College,2022-2023,1st,Main,4th year,BSCS,old student,,,enrolled,33:38.1,33:38.1,
,120,C00-0036,College,2021-2022,1st,Main,1st year,BSENTREP,new student,AQC World Gold Finance Inc.,"Block 19 Lot 54 Chang Village, Planet Road, Basilisa, 9569 Surigao del Norte",enrolled,33:38.1,33:38.1,
,121,C00-0036,College,2021-2022,2nd,Main,1st year,BSENTREP,old student,,,enrolled,33:38.1,33:38.1,
,122,C00-0036,College,2022-2023,1st,Main,2nd year,BSENTREP,old student,,,completed,33:38.1,33:38.1,
,123,C00-0036,College,2022-2023,2nd,Main,2nd year,BSENTREP,old student,,,enrolled,33:38.1,33:38.1,
,124,C00-0036,College,2023-2024,1st,Main,3rd year,BSENTREP,old student,,,completed,33:38.1,33:38.1,
,125,C00-0036,College,2023-2024,2nd,Main,3rd year,BSENTREP,old student,,,completed,33:38.1,33:38.1,
,126,C00-0036,College,2024-2025,1st,Main,4th year,BSENTREP,old student,,,onhold,33:38.1,33:38.1,
,127,C00-0037,College,2019-2020,1st,Main,1st year,BSCRIM,new student,Black King City Construction Inc.,"B25 L24 Hibok-Hibok Grove Phase 7, Tindalo Drive, Braulio E. Dujali, 2572 Oriental Mindoro",LOA,33:38.1,33:38.1,
,128,C00-0037,College,2019-2020,2nd,Main,1st year,BSCRIM,old student,,,enrolled,33:38.1,33:38.1,
,129,C00-0037,College,2020-2021,1st,Main,2nd year,BSCRIM,old student,,,cancelled,33:38.1,33:38.1,
,130,C00-0038,College,2019-2020,1st,Main,1st year,BSCRIM,new student,Hensley World Equities Inc.,"6615-B 82nd Street, Malabon, 1821 Metro Manila",enrolled,33:38.1,33:38.1,
,131,C00-0038,College,2019-2020,2nd,Main,1st year,BSCRIM,old student,,,onhold,33:38.1,33:38.1,
,132,C00-0038,College,2020-2021,1st,Main,2nd year,BSCRIM,old student,,,enrolled,33:38.1,33:38.1,
,133,C00-0038,College,2020-2021,2nd,Main,2nd year,BSCRIM,old student,,,enrolled,33:38.1,33:38.1,
,134,C00-0038,College,2021-2022,1st,Main,3rd year,BSCRIM,old student,,,enrolled,33:38.1,33:38.1,
,135,C00-0038,College,2021-2022,2nd,Main,3rd year,BSCRIM,old student,,,approved,33:38.1,33:38.1,
,136,C00-0038,College,2022-2023,1st,Main,4th year,BSCRIM,old student,,,enrolled,33:38.1,33:38.1,
,137,C00-0039,College,2021-2022,1st,Main,1st year,BSTM,new student,Far Holdings Corporation,"2899 Pisces Road, Wheeler Village Phase 7, Dapa, 7191 Lanao del Norte",dropped,33:38.1,33:38.1,
,138,C00-0040,College,2020-2021,1st,Main,1st year,BSIS,new student,Quad Resources Limited,"Block 22 Lot 88 Hercules Drive, Constellation Estates, Makati, 0812 Metro Manila",enrolled,33:38.1,33:38.1,
,139,C00-0040,College,2020-2021,2nd,Main,1st year,BSIS,old student,,,cancelled,33:38.1,33:38.1,
,140,C00-0041,SHS,2020-2021,1st,Uno,grade 11,ICT,new student,Great Empire Holdings Inc.,"B15 L92 Mayon Street, Tamarind Estates, Jamindan, 8194 Davao del Sur",dropped,33:38.1,33:38.1,
,141,C00-0042,College,2019-2020,1st,Main,1st year,BSENTREP,new student,KG Capital Corporation,"Block 18 Lot 72 Martinez Subdivision Phase 4, Onyx Road, Magsaysay, 9768 Davao Oriental",deferred,33:38.1,33:38.1,
,142,C00-0042,College,2019-2020,2nd,Main,1st year,BSENTREP,old student,,,approved,33:38.1,33:38.1,
,143,C00-0042,College,2020-2021,1st,Main,2nd year,BSENTREP,old student,,,enrolled,33:38.1,33:38.1,
,144,C00-0042,College,2020-2021,2nd,Main,2nd year,BSENTREP,old student,,,transferred,33:38.1,33:38.1,
,145,C00-0042,College,2021-2022,1st,Main,3rd year,BSENTREP,old student,,,dropped,33:38.1,33:38.1,
,146,C00-0043,College,2022-2023,1st,Main,1st year,BSCRIM,new student,Perez Morning Genesis Holdings Inc.,"1767 Cordillera Drive, Mandaluyong, 0783 Metro Manila",enrolled,33:38.1,33:38.1,
,147,C00-0043,College,2022-2023,2nd,Main,1st year,BSCRIM,old student,,,cancelled,33:38.1,33:38.1,
,148,C00-0044,SHS,2019-2020,1st,Uno,grade 11,ABM,new student,Northern Empire Bank Corporation,"B15 L79 Sapphire Street, Moonstone Grove Phase 1, Paracelis, 2296 Benguet",onhold,33:38.1,33:38.1,
,149,C00-0044,SHS,2019-2020,2nd,Uno,grade 11,ABM,old student,,,cancelled,33:38.1,33:38.1,
,150,C00-0045,College,2020-2021,1st,Main,1st year,BTVTED,new student,Grand City Bank Inc.,"9834 Carrot Street, Tipo-Tipo, 5551 Tarlac",approved,33:38.1,33:38.1,
,151,C00-0045,College,2020-2021,2nd,Main,1st year,BTVTED,old student,,,onhold,33:38.1,33:38.1,
,152,C00-0045,College,2021-2022,1st,Main,2nd year,BTVTED,old student,,,enrolled,33:38.1,33:38.1,
,153,C00-0045,College,2021-2022,2nd,Main,2nd year,BTVTED,old student,,,enrolled,33:38.1,33:38.1,
,154,C00-0045,College,2022-2023,1st,Main,3rd year,BTVTED,old student,,,completed,33:38.1,33:38.1,
,155,C00-0045,College,2022-2023,2nd,Main,3rd year,BTVTED,old student,,,approved,33:38.1,33:38.1,
,156,C00-0045,College,2023-2024,1st,Main,4th year,BTVTED,old student,,,completed,33:38.1,33:38.1,
,157,C00-0046,SHS,2022-2023,1st,Main,grade 11,HUMSS,new student,Bullock Services Limited,"7134B Opal Street, San Juan, 1520 Metro Manila",enrolled,33:38.1,33:38.1,
,158,C00-0046,SHS,2022-2023,2nd,Main,grade 11,HUMSS,old student,,,enrolled,33:38.1,33:38.1,
,159,C00-0046,SHS,2023-2024,1st,Main,grade 12,HUMSS,old student,,,enrolled,33:38.1,33:38.1,
,160,C00-0047,SHS,2021-2022,1st,Main,grade 11,ICT,new student,NLHL Ventures Limited,"Block 19 Lot 60 Cancer Grove, Mcdonald Extension, Mambajao, 8272 Agusan del Sur",enrolled,33:38.1,33:38.1,
,161,C00-0047,SHS,2021-2022,2nd,Main,grade 11,ICT,old student,,,approved,33:38.1,33:38.1,
,162,C00-0047,SHS,2022-2023,1st,Main,grade 12,ICT,old student,,,enrolled,33:38.1,33:38.1,
,163,C00-0048,SHS,2022-2023,1st,Main,grade 11,ABM,new student,ITI Capital Corporation,"2nd Floor Comet Condominiums 5, 4885 Cattleya Drive, Dinalungan, 4552 Albay",approved,33:38.1,33:38.1,
,164,C00-0048,SHS,2022-2023,2nd,Main,grade 11,ABM,old student,,,enrolled,33:38.1,33:38.1,
,165,C00-0048,SHS,2023-2024,1st,Main,grade 12,ABM,old student,,,enrolled,33:38.1,33:38.1,
,166,C00-0049,College,2021-2022,1st,Main,1st year,BSTM,new student,YHSS City Finance Inc.,"6635 82nd Drive, Warner Subdivision, Madalum, 9422 Davao Oriental",enrolled,33:38.1,33:38.1,
,167,C00-0049,College,2021-2022,2nd,Main,1st year,BSTM,old student,,,enrolled,33:38.1,33:38.1,
,168,C00-0049,College,2022-2023,1st,Main,2nd year,BSTM,old student,,,approved,33:38.1,33:38.1,
,169,C00-0049,College,2022-2023,2nd,Main,2nd year,BSTM,old student,,,failed,33:38.1,33:38.1,
,170,C00-0050,College,2019-2020,1st,Main,1st year,BTVTED,new student,DXM Century Development Corporation,"8235 Galaxy Road, Ferrol, 3765 Quirino",deferred,33:38.1,33:38.1,
,171,C00-0050,College,2019-2020,2nd,Main,1st year,BTVTED,old student,,,completed,33:38.1,33:38.1,
,172,C00-0050,College,2020-2021,1st,Main,2nd year,BTVTED,old student,,,approved,33:38.1,33:38.1,
,173,C00-0050,College,2020-2021,2nd,Main,2nd year,BTVTED,old student,,,failed,33:38.1,33:38.1,
,174,C00-0051,College,2022-2023,1st,Main,1st year,BSTM,new student,YLLP Bank Inc.,"4471 Jacaranda Extension, Gloriosa Estates, Famy, 3719 Quezon",enrolled,33:38.1,33:38.1,
,175,C00-0051,College,2022-2023,2nd,Main,1st year,BSTM,old student,,,failed,33:38.1,33:38.1,
,176,C00-0052,SHS,2020-2021,1st,Main,grade 11,ICT,new student,Cummings Silver Dragon Capital Corporation,"Block 21 Lot 13 White Grove 9, Aquarius Street, Pasacao, 9284 Tawi-Tawi",onhold,33:38.1,33:38.1,
,177,C00-0052,SHS,2020-2021,2nd,Main,grade 11,ICT,old student,,,enrolled,33:38.1,33:38.1,
,178,C00-0052,SHS,2021-2022,1st,Uno,grade 12,ICT,old student,,,enrolled,33:38.1,33:38.1,
,179,C00-0053,College,2021-2022,1st,Main,1st year,BSENTREP,new student,Davila Finance Inc.,"B07 L43 Cauliflower Grove, Sunstone Street, Daguioman, 8182 Camiguin",enrolled,33:38.1,33:38.1,
,180,C00-0053,College,2021-2022,2nd,Main,1st year,BSENTREP,old student,,,enrolled,33:38.1,33:38.1,
,181,C00-0053,College,2022-2023,1st,Main,2nd year,BSENTREP,old student,,,enrolled,33:38.1,33:38.1,
,182,C00-0053,College,2022-2023,2nd,Main,2nd year,BSENTREP,old student,,,enrolled,33:38.1,33:38.1,
,183,C00-0053,College,2023-2024,1st,Main,3rd year,BSENTREP,old student,,,completed,33:38.1,33:38.1,
,184,C00-0053,College,2023-2024,2nd,Main,3rd year,BSENTREP,old student,,,enrolled,33:38.1,33:38.1,
,185,C00-0053,College,2024-2025,1st,Main,4th year,BSENTREP,old student,,,enrolled,33:38.1,33:38.1,
,186,C00-0054,College,2021-2022,1st,Main,1st year,BSTM,new student,AZ Genesis Century Trust Corporation,"1272 12th Highway, Sierra Madre Estates 3, Talavera, 9060 Davao del Sur",LOA,33:38.1,33:38.1,
,187,C00-0054,College,2021-2022,2nd,Main,1st year,BSTM,old student,,,completed,33:38.1,33:38.1,
,188,C00-0054,College,2022-2023,1st,Main,2nd year,BSTM,old student,,,dropped,33:38.1,33:38.1,
,189,C00-0055,SHS,2022-2023,1st,Uno,grade 11,ABM,new student,Grand Properties Inc.,"4960 58th Street, Sanchez Cove Phase 5, Muntinlupa, 0651 Metro Manila",deferred,33:38.1,33:38.1,
,190,C00-0055,SHS,2022-2023,2nd,Main,grade 11,ABM,old student,,,dropped,33:38.1,33:38.1,
,191,C00-0056,College,2022-2023,1st,Main,1st year,ACT,new student,Philippine Hotel Corporation,"Block 11 Lot 59 Bernard Village, 89th Street, Gainza, 1925 Mountain Province",enrolled,33:38.1,33:38.1,
,192,C00-0056,College,2022-2023,2nd,Main,1st year,ACT,old student,,,failed,33:38.1,33:38.1,
